A_Name_Ch,A_Summary,A_Keywords,A_AlsoKnown,A_Geo,A_Location,A_POIGroup,A_Name_En,A_Name_Latin,A_Phylum,A_Class,A_Order,A_Family,A_Conservation,A_Distribution,A_Habitat,A_Feature,A_Behavior,A_Diet,A_Crisis,A_Interpretation,A_Theme_Name,A_Theme_URL,A_Adopt,A_Code,A_Pic01_ALT,A_Pic01_URL,A_Pic02_ALT,A_Pic02_URL,A_Pic03_ALT,A_Pic03_URL,A_Pic04_ALT,A_Pic04_URL,A_pdf01_ALT,A_pdf01_URL,A_pdf02_ALT,A_pdf02_URL,A_Voice01_ALT,A_Voice01_URL,A_Voice02_ALT,A_Voice02_URL,A_Voice03_ALT,A_Voice03_URL,A_Vedio_URL,A_Update,A_CID,,
象魚,,,,MULTIPOINT ((121.5832050 24.9960014)),熱帶雨林室內館(穿山甲館),,Arapaima,Arapaima gigas,脊索動物門,硬骨魚綱,骨舌魚目,巴西骨舌魚科,資料不足 DD,南美洲的巴西、圭亞那、祕魯等地區的亞馬遜流域,,"1. 象魚是南美洲亞馬遜河流域最大的淡水魚。
 2. 壽命可長達60歲。但要30歲才有繁殖能力。
 3. 魚鱗結構特殊，堅韌到能抵禦食人魚攻擊。","1. 象魚用鰓呼吸，但有著和肺相同功能的魚鰾，牠們常緩緩游在水面，仰頭出水面張口呼吸空氣，行為相當特別。
 2. 當水裡的含氧量低時，會浮出水面吞嚥空氣，旱季缺水時也能鑽入泥中存活。",雜食偏肉食性，魚、蛙、昆蟲、鳥,,,,,,A01,象魚,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/A01/Arapaima01.jpg,象魚,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/A01/Arapaima02.jpg,象魚,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/A01/Arapaima03.png,,,,,,,,,,,,,,,,,
大鱗脂鯉,,,紅尾平克,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Pink Tailed Chalceus,Chalceus macrolepidotus,脊索動物門,硬骨魚綱,脂鯉目,脂鯉科,,南美洲亞馬遜河流域流域。,上層水域。,"1. 體長可達24.5公分。
 2. 青壯年時體色為粉紅色。身體背部為金橄欖綠色，側腹部則呈銀色。
 3. 鱗片大而錯落有致，尤其是在側線上方更為明顯。頭部相當短，嘴的上唇突出。","1. 大鱗脂鯉上層水域水域的掠食者，會捕捉蠕蟲，昆蟲和小魚為食。
 2. 通常生活於含氧量較高的水域中生活。",肉食性。,,,,,,PTC,大鱗脂鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/PTC/PinkTailedChalceus01.jpg,大鱗脂鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/PTC/PinkTailedChalceus02.jpg,大鱗脂鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/PTC/PinkTailedChalceus03.jpg,,,,,,,,,,,,,,,,,
短蓋肥脂鯉,,,紅銀板,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Red-belied pacu,Piaractus brachypomus,脊索動物門,硬骨魚綱,脂鯉目,脂鯉科,,南美洲亞馬遜河和奧里諾科河流域,中層水域,身體呈深色，腹部、下巴、胸鰭呈紅色，少部分腹鰭也是紅色。,"1. 紅銀板常被誤認為食人魚，但他們其實是以果實主食的雜食性魚類。
 2. 他們會用兩排的扁平牙齒，壓碎種子與堅果。
 3. 在河川氾濫的季節裡，他們會進入被水淹沒的地區，吃掉並散播植物的種子。",種子、甲殼類、小魚,,,,,,Rp,短蓋肥脂鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Rp/Red_beliedpacu01.jpg,短蓋肥脂鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Rp/Red_beliedpacu02.jpg,,,,,,,,,,,,,,,,,,,
雙鬚骨舌魚,,,銀帶,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Silver arowana,Osteoglossum bicirrhosum,脊索動物門,硬骨魚綱,骨舌魚目,骨舌魚科,,南美洲亞馬遜河,上層水域,"1. 身體呈帶狀。口裂下斜、蓋住上頜的下頜具有類似育兒袋來口孵仔魚。
 2. 頜鬚一對、眼睛大而靈活。鱗片大而明顯、鱗片外緣呈粉橘色而隨成長而淡化。
 3. 臀鰭從肛門後方延續至尾柄，背鰭長度比臀鰭稍短。最大長至120公分。",可跳躍於水上捕食水面上的獵物。,魚類、蝦、蟲,,,,,,Sa,雙鬚骨舌魚,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Sa/Silverarowana01.jpg,雙鬚骨舌魚,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Sa/Silverarowana02.jpg,,,,,,,,,,,,,,,,,,,
穗鬚原鯉,,,,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Jullien's Golden Carp,Probarbus jullieni,脊索動物門,硬骨魚綱,鯉目,鯉科,極危 CR,,,長達1.5米及重70公斤,洄游性魚類，乾旱季遷移至上游繁殖，孵化的仔魚雨季進入食物充足的下游洪氾區。,雜食性,"1. 近年因過度捕撈
 2. 森林砍伐、工業開發造成流域水質汙染
 3. 水利大壩建設，使其無法向上游遷移繁殖等原因，嚴重影響族群繁殖。",,,,,JGC,穗鬚原鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/JGC/Jullien'sGoldenCarp01.png,穗鬚原鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/JGC/Jullien'sGoldenCarp02.jpg,穗鬚原鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/JGC/Jullien'sGoldenCarp03.jpg,穗鬚原鯉,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/JGC/Jullien'sGoldenCarp04.jpg,,,,,,,,,,,,,,,
黑帝王魟,,,,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Pearl Stingray,Potamotrygon sp,脊索動物門,軟骨魚綱,魟目,燕魟科,,南美洲亞馬遜河支流塔巴赫斯河,底層水域,"1. 胸鰭跟身體連接成一個盤子的形狀，中幼魚時背部色彩較淺，體長直徑達20~30公分後顏色逐漸轉黑
 2. 背部的金黃色線條及斑點勾勒出似黑色甜甜圈或組合成「8」的斑紋
 3. 身體後半段是細長尾柄，上面有小小的背鰭跟鐮刀狀的尾鰭。尾柄1/2至1/3處有一根棘刺，上面有倒刺，下有分泌毒液的毒腺及儲藏毒液的毒囊，毒性極強。棘刺一年會替換2~3次。","1. 雄魚的尾柄兩側有特化成棒狀的交尾腳，雌魚則張開如扇狀。
 2. 喜歡趴在水中淺灘泥沙上，偶爾會潛入泥中。",肉食性，以魚類、甲殼類、底棲無脊椎動物及昆蟲為食,,,,,,PS,黑帝王魟,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/PS/PearlStingray01.jpg,黑帝王魟,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/PS/PearlStingray02.jpg,,,,,,,,,,,,,,,,,,,
赫氏萎鰓麗魚,,,關刀藍寶石,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Threadfin Acara,Acarichthys heckelii,脊索動物門,硬骨魚綱,鱸形目,慈鯛科,,亞馬遜河流域,底水層,"1. 體型略呈側扁，吻端相對尖銳
 2. 成熟個體體側具有金屬光澤之斑點，背鰭、臀鰭及尾鰭上下緣則會有絲狀游離",繁殖前會將底沙清除，並將卵產於底床上。屬半口孵性,雜食性,,,,,,TA,赫氏萎鰓麗魚,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/TA/ThreadfinAcara01.png,,,,,,,,,,,,,,,,,,,,,
巴西亞金三間,,,,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Yellow Peacock Bass,Cichla kelberi,脊索動物門,硬骨魚綱,鱸形目,慈鯛科,,原產南美洲亞馬遜流域,,"1. 外表跟大口黑鱸相似
 2. 繁殖期期間牠們的前額會形成明顯的駝峰。","1. 雨季是繁殖期
 2. 個性謹慎，喜歡躲在有淹沒樹木作為遮蔽的區域。",肉食性,,,,,,YPB,巴西亞金三間,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/YPB/YellowPeacockBass01.jpg,巴西亞金三間,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/YPB/YellowPeacockBass02.jpg,巴西亞金三間,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/YPB/YellowPeacockBass03.jpg,,,,,,,,,,,,,,,,,
西德藍寶石,,,鑽石藍星、巴西珠母麗魚,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Pearl cichlid,Geophagus brasiliensis,脊索動物門,硬骨魚綱,鱸形目,慈鯛科,,南美洲,,"1. 體呈橢圓形，側扁，尾柄略短。頭較大，尾柄相對較窄，上側位。
 2. 口小開於吻端，後段不達眼前緣。側線在臀鰭起點的上方中段，分為上下二段。
 3. 體色略呈暗棕綠色，有時因環境改變而有不同。","1. 西德藍寶石是廣鹽性的魚類，大多生存於河川下游、或是沿海瀉湖地區，並會因生存區域的不同而有形態上的變化。
 2. 當幼魚孵化後，親魚會繼續照顧仔魚，但鑽石藍星並沒有口孵器供仔魚躲藏。",雜食性,,,,,,PC,西德藍寶石,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/PC/Pearlcichlid01.jpg,西德藍寶石,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/PC/Pearlcichlid02.jpg,,,,,,,,,,,,,,,,,,,
栗喉蜂虎,,,,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Blue-tailed bee-eater,Merops philippinus,脊索動物門,鳥綱,佛法僧目,蜂虎科,無危 LC,中國東南、海南島、中南半島及南洋群島,林緣疏林、竹林、樹木稀疏之草坡開闊,批著翠綠色外衣、拖著藍色尾羽、喉部還點綴著栗紅色的「栗喉蜂虎」，由其吸引人們的眼光，牠們亮麗的身影及響亮的鳴叫聲，是金門夏天空中最美麗的象徵，因此被當地稱為「夏日精靈」。,"1. 是金門極具特色的夏候鳥。每年清明節前後，飛向中國東南及海南群到繁殖族群，冬季會向南方遷移過冬。
 2. 擅長直接捕食飛行中的昆蟲
 3. 集體夜棲，黃昏日落將近時，牠們從各地往過夜的地方聚集，在金門地區，金門農試所、金龜山、后沙一帶的樹林，是牠們集體過夜的地方。",昆蟲，如:蜜蜂、蝴蝶、蜻蜓等,,,,,,Bb,栗喉蜂虎,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Bb/Blue_tailedbee_eater01.jpg,栗喉蜂虎,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Bb/Blue_tailedbee_eater02.jpg,栗喉蜂虎,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Bb/Blue_tailedbee_eater03.jpg,,,,,,,,,,,,,,,,,
青鸞,,,,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館);鳥園,,Great Argus,Argusianus argus,脊索動物門,鳥綱,雞形目,雉科,近危NT,馬來西亞、蘇門答臘及婆羅洲。,,"1. 雄鳥體長約200公分，體重約2公斤，雌鳥體長約75公分，體重約1.6公斤。
 2. 臉上雌雄皆有藍色皮膚，公鳥有明顯的羽冠。","1. 喜歡單獨行動，清晨及黃昏在森林底層覓食，具領域性。
 2. 求偶期間雄鳥會展開飛羽，藉由次級飛羽上有許多圓形如眼球般的圖案吸引雌鳥，在雌鳥面前跳起特殊的舞步，並瞬間張開翅膀成扇狀，因此又被稱為「百眼雉雞」。
 3. 一夫一妻制的鳥類。",果實、種子、嫩樹葉、無脊椎生物等。,青鸞居住的亞洲雨林遭到嚴重破壞，使牠被世界自然保護聯盟列為近危的鳥類。,,,,,GA,青鸞,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/GA/GreatArgus01.jpg,青鸞,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/GA/GreatArgus01.jpg,青鸞,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/Bb/Blue_tailedbee_eater01.jpg,,,,,,,,,,,,,,,,,
指猴,,,,MULTIPOINT ((121.5832479 24.9959334)),熱帶雨林室內館(穿山甲館),,Aye-Aye,Daubentonia madagascariensis,脊索動物門,哺乳綱,靈長目,指猴科,瀕危 EN,非洲馬達加斯加的部分區域,生活於原始林、次生雨林、落葉林和人工林中，偶爾還會在灌木林或紅樹林中。,"1. 指猴尾巴長而濃密，體毛雜亂而粗糙，成年毛色為深棕色或黑色，分散的白色毛。
 2. 面部特徵包瓜黃橙色或沙褐色眼睛，周圍有深色斑紋，大三角型耳朵，粉紅色的短鼻子。
 3. 雌雄外觀沒有明顯不同。門牙很大且終生不斷增長。","1. 夜行性，獨居，樹冠層活動，將頸部、臉頰和臀部摩擦將氣味標記在樹上。
 2. 牠們捕食昆蟲幼蟲的方式非常特別，是利用細長的中指敲及樹木及竹子，藉由敲擊的聲音來確定裡面幼蟲的位置，在用銳利的牙齒咬開樹木，接著用手指伸進洞口小心意義的拉出幼蟲來捕來吃。",雜食性，樹葉、果實、花蜜、昆蟲。,"1. 指猴主要因自然棲息地迅速喪失而瀕臨面絕。
 2. 指猴會被當地人所獵殺，因其被視為害獸和傳統宗教上的凶兆。",,,,,A,指猴,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/A/Aye_Aye01.JPG,指猴,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/A/Aye_Aye02.JPG,指猴,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/A/Aye_Aye03.JPEG,指猴,https://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/A/Aye_Aye04.JPEG,,,,,,,,,,,,,,,
射紋陸龜,,,,"MULTIPOINT ((121.5833766 24.9960938),(121.5898494 24.9940697))",熱帶雨林室內館(穿山甲館);兩棲爬蟲動物館,,Radiated tortoise,Astrochelys radiata,脊索動物門,爬蟲綱,龜鱉目,陸龜科,,非洲的馬達加斯加南部。生活在較乾燥的樹林和灌叢中。,棲息於乾旱疏林草原。,頭部黃色，頭背面有黑斑，背甲圓而高聳，為暗褐色或黑色，上有黃色或橙色的輻射條紋，腹甲為黃色，外側有大形的三角形黑斑，四肢粗壯有爪，佈滿鱗片。,"1. 射紋陸龜生性較為羞澀，受到驚嚇時會快速縮進龜殼內並發出噴氣音。
 2. 生活於乾燥環境的牠們對水的喜好性強，淋雨時會有撐起身體的特殊行為。",植食性。,野生族群因當地食用以及寵物用途遭大規模捕捉。,,,,,Tortoise-Rad,射紋陸龜,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/RT 01/Radiatedtortoise01.JPG,射紋陸龜,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/RT 01/Radiatedtortoise02.JPG,射紋陸龜,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/RT 01/Radiatedtortoise03.JPG,射紋陸龜,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/RT 01/Radiatedtortoise04.JPG,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DskYv0yBtCegIz7-AxfW1iw,2017/9/29,58,,
紅腿象龜,,,,"MULTIPOINT ((121.5833432 24.9960747),(121.5901453 24.9946356))",熱帶雨林室內館(穿山甲館);兩棲爬蟲動物館,,Red-footed Tortoise,Chelonoidis carbonarius,脊索動物門,爬蟲綱,龜鱉目,陸龜科,易危 VU,南美洲北部，巴拿馬、哥倫比亞、巴拉圭、委內瑞拉蓋亞那巴西、阿根廷北部及幾個加勒比海群島,森林邊緣至平原為主。,"1. 深色背甲，甲殼通常是一個細長的橢圓形，兩側平行，但雄性的兩側會內彎。
 2. 四肢及臉頰有紅色斑點，顏色很鮮豔。
 3. 四肢通常是成圓柱形，前肢有5隻爪和後腿有4隻爪，但沒有明顯的腳趾。","1. 日行性。
 2. 野生雌龜每年7至9月為產卵期，圈養環境全年皆可繁殖。
 3. 食性廣泛及遠距離遷徙的行為，是熱帶植物種子的重要傳播者。",雜食性，會吃水果、花草、腐肉和小型無脊椎動物。,,,,,,Tortoise-Red,紅腿陸龜,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/RT/Red_footedTortoise01.JPG,紅腿陸龜,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/RT/Red_footedTortoise02.JPG,紅腿陸龜,http://www.zoo.gov.tw/iTAP/03_Animals/PangolinDome/0_PangolinDome/RT/Red_footedTortoise03.JPG,,,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dvor0zdz2K6SjNskDt8pbzg,2017/9/29,55,,
白手長臂猿,,,,"MULTIPOINT ((121.5831550 24.9945482), (121.5817656 24.9980440))",熱帶雨林區;兒童動物區,,White-handed Gibbon,Hylobates lar,脊索動物門,哺乳綱,靈長目,長臂猿科,瀕危 EN,中國雲南、緬甸、印尼、馬來西亞及泰國，蘇門答臘北部。,低地及山坡的熱帶雨林，高於30公尺的茂密樹冠上,"1. 淡奶油白色或棕褐色二種色型。一圈白毛圍繞著黑色無毛的臉，手與腳多為白色。 
 2. 體型纖細，雙臂極長，站立時垂過膝。","1.白手長臂猿以家庭為單位結群活動，每一個家庭包括一對成猿及牠們的兒女，有固定的生活空間及領域，領域性強並透過鳴叫來宣示領域及驅趕入侵者。
 2.樹棲性的動物，經常利用長臂快速地擺盪穿梭於林間，一次擺璗的距離可長達3公尺。
 3.在地面行走時，長手顯得有點累贅，常以高舉過頭的跳躍方式前進，不會游泳且相當怕水。",雜食性：以水果為主，也吃樹葉，以及少許昆蟲、蛋、小型脊椎動物。,棲息地的喪失、棲地破碎化、非法圈養,,,,,Gibbon,白手長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Gibbon/Gibbon_Pic01.jpg,白手長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Gibbon/Gibbon_Pic02.jpg,白手長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Gibbon/Gibbon_Pic03.jpg,白手長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Gibbon/Gibbon_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DvQU4K7MU-vcHEyKrlqPlKW,2017/9/29,17,,
馬來長吻鱷,,,,"MULTIPOINT ((121.5830280 24.9964828),(121.5837299 24.9957106), (121.589158 24.9927709))",熱帶雨林區;溫帶動物區,,Tomistoma,Tomistoma schlegelii,脊索動物門,爬蟲綱,鱷目,鱷科,易危 VU,馬來半島、蘇門答臘及婆羅洲部份地區之森林或濕地,原生地為印尼、馬來西亞、蘇門答臘和婆羅洲，屬熱帶地區物種。,"1. 屬大型鱷魚，特徵是長而狹窄的口鼻部，嘴上長有76-84尖銳的尖齒。
 2. 眼睛和鼻孔位於頭頂，有流線型的身體和肌肉性的尾巴。
 3. 體色為橄欖綠色，背上有模糊黑色橫條紋；未成年的大多是深棕色。","1. 成熟後雌性個體可以達到2.5~3公尺長，雄性約5公尺長。
 2. 約20歲達性成熟，在野外求偶季節與當地的雨季配合，大約是每年的11月到2月及4月到6月；雌鱷會將巢築在近水邊的大樹基部，以落葉、樹枝和碎木塊等建成。",肉食性。以鳥類、哺乳動物、爬蟲、魚類、昆蟲、甲殼動物等。,人類活動如狩獵、伐木和木材採伐、捕魚和過度利用水生資源，被製作成手工藝品、珠飾等。,,,,,Tomistoma-schlegelii,馬來長吻鱷,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Tomistoma-schlegelii/Tomistoma-schlegelii_Pic01.jpg,馬來長吻鱷,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Tomistoma-schlegelii/Tomistoma-schlegelii_Pic02.jpg,馬來長吻鱷,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Tomistoma-schlegelii/Tomistoma-schlegelii_Pic03.jpg,馬來長吻鱷,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Tomistoma-schlegelii/Tomistoma-schlegelii_Pic04.jpg,,,,,,,,,,,,2016/11/9,,,
小爪水獺,,,,"MULTIPOINT ((121.5829850 24.9965557), (121.5837092 24.9955201))",熱帶雨林區;溫帶動物區,,Asian Small-Clawed Otter,Aonyx cinereus,脊索動物門,哺乳綱,食肉目,貂科,易危 VU,亞洲從印度南部、馬來半島到中國南部的沿海地區，以及蘇門答臘和婆羅洲地區,淡水濕地、湖泊、河川下游的河套、紅樹林等地區,是全世界體型最小的水獺，頭軀幹長呈流線型，四肢短，各趾間有蹼膜，毛短而密。,"1. 群居生活，喜歡社交和用聲音溝通的動物。棲息於內陸淡水區域，也可適應河口，活動路線固定，但範圍大。
 2. 活動以夜間為主，潛水、游泳能力強，可在水中追捕獵物，但仍需至水面換氣，游泳時耳朵貼著頭部、前腳靠著腹部、圓形的鼻子也可以減少水中的阻力。
 3. 視覺、嗅覺、聽覺和觸覺都不錯。眼睛的水晶體比較圓、可以適應水的折射率，看得清水中的物體。
 4. 掌部很敏感、再加上口部周圍的腮鬚，有觸覺功能，不論泥水中或黑暗中、就算輕微狀況亦能偵測得出，靈活運用前爪捕捉獵物，或是搬開石頭翻找食物。",捕食水中無脊椎動物、甲殼類、魚類、兩生爬蟲類及水域附近的水禽、嚙齒類。,"1. 水獺在水域生態系中，位於食物鏈最高階的消費者；一旦水域受到重金屬或化學物質污染，牠們通常是最先消失的物種，為水域環境良好與否的重要指標。
 2. 早期因皮毛遭獵捕，後因河川汙染、棲地遭破壞等因素而導致數量驟減。",,,,,Otter-O,小爪水獺,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Otter-O/Otter-O_Pic01.jpg,小爪水獺,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Otter-O/Otter-O_Pic02.jpg,小爪水獺,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Otter-O/Otter-O_Pic03.jpg,小爪水獺,http://www.zoo.gov.tw/iTAP/03_Animals/TemperateZoneAnimalArea/Otter-O/Otter-O_Pic04.jpg,,,,,,,,,,,,########,231,,
羊駝,,,,MULTIPOINT ((121.5827215 24.9986011)),兒童動物區,,Alpaca,Vicugna pacos,脊索動物門,哺乳綱,偶蹄目,駱駝科,暫無危機 LC,南美洲，4800公尺高的安地斯山脈，祕魯南部和玻利維亞西部等地被人類飼養。,,成年雄獸肩高約90-100公分，體長約200公分，重70-90公斤。外型像綿羊頸部較長。,"1.為了適應高山稀薄空氣，血液裡具有特殊的紅血球可以幫助得到足夠的氧氣。
  2.群居動物，在野外通常由一隻雄性、多隻雌性及牠們的小羊駝所組成，雄羊駝會負責照顧群體，發現危險時會發出警戒聲，牠們彼此通過身體擺動姿勢及柔和的哼唱聲相互進行交流。圈養也容易飼養和照顧。
  3.羊駝看似溫馴，其實是很有個性的動物，在爭吵或搶食時會鼓起雙頰吐口水，在受到驚嚇或不喜歡的碰觸時會用後腳側踢。",草食性,,,,,,Alpaca,羊駝,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Alpaca/Alpaca_Pic01.jpg,羊駝,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Alpaca/Alpaca_Pic02.jpg,羊駝,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Alpaca/Alpaca_Pic03.jpg,羊駝,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Alpaca/Alpaca_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dv3XClVaHGKRgHYVJ99LD4T,2017/9/29,24,,
長鼻浣熊,,,,MULTIPOINT ((121.5823621 24.9992732)),兒童動物區,,South American Coati,Nasua nasua,脊索動物門,哺乳綱,食肉目,浣熊科,暫無危機 LC,"南美洲熱帶地區，從委內瑞拉、哥倫比亞、厄瓜多到烏拉圭及阿根廷北部。此外，安第斯山脈東西兩側2,500公尺以下山麓也可發現牠們的蹤跡。",,"1. 上半身為褐色或灰色，腹部白色。細長的尾巴大約32~69公分，棕黑色並有一圈圈黃色環，具有平衡的功能。腳爪和前肢十分強壯，便於爬樹和挖掘朽木下的食物。
 2. 長鼻浣熊的頭部狹窄，微微上翹的瘦長鼻子十分靈活","1. 會在落葉或碎石堆中翻找食物。擅長爬樹和游泳，可以翻轉關節和踝骨，以頭在前的方式下樹。
 2. 通常雌性會留在出生地附近，而雄性則會移至他處與陌生的雌性組成數量約30隻的團體。
 3. 日行性動物，大多在樹上活動，花大部分的時間尋找食物。牠們偶爾會破壞農作物，但在害蟲數量控制上亦扮演重要的角色，而且有助於傳播某些種子。
 4. 具有特殊的肛門腺氣味，會以頸部或下腹部摩擦固定地點來宣示領域，就像是隨身攜帶的「領土所有權證明」。",雜食性，以水果和無脊椎動物為主食，包含棕櫚樹、雞蛋、甲蟲幼蟲、蝎子、蜈蚣、蜘蛛、螞蟻、白蟻、蜥蜴、小型哺乳動物、囓齒動物等。,,,,,,Coati,長鼻浣熊,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Coati/Coati_Pic01.jpg,長鼻浣熊,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Coati/Coati_Pic02.jpg,長鼻浣熊,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Coati/Coati_Pic03.jpg,長鼻浣熊,http://www.zoo.gov.tw/iTAP/03_Animals/ChildrenArea/Coati/Coati_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Du96uvTMa8UFbHvxebO-y4d,2017/9/29,27,,
